Pattern_1 Pattern_5
BBIP1 0.150902211666107 0.233400195837021
LINC02805 0.000598221377003938 0.000156127018271945
ZNF618 0.0630421862006187 0.18110279738903
ANXA1 1.33940422534943 0.319437116384506
PTPN2 0.339583933353424 0.267830967903137
RRBP1 0.539359927177429 0.900815367698669
CAMKK1 0.0774985030293465 0.148556917905807
MRPL43 0.329949796199799 1.19353687763214
NOC4L 0.233827069401741 0.522747576236725
ETV5 0.0721901059150696 0.111713759601116
GCSAML 0.000730980304069817 0.000269713869784027
FGD3 0.518279433250427 0.694056332111359
RHOV 0.0895698145031929 0.380184561014175
MRVI1 0.153686374425888 0.0351022779941559
GALNT16 0.0525381751358509 0.263495773077011
LRRC49 0.00274721952155232 0.0101365773007274
YBX1 1.78550779819489 1.07693040370941
NHS 0.0247495695948601 0.0695808678865433
AC002470.1 0.00353575218468904 0.00120729021728039
SMOC2 0.263630956411362 0.234180495142937
AC069503.1 0.000481676106574014 0.0103462748229504
DEPDC4 0.0011357890907675 0.00831298436969519
AC004540.1 0.0101429205387831 0.0275338813662529
ACE2 0.000360187899786979 0.000175821725861169
LINC02646 0.000366702617611736 0.00107196904718876
CCDC190 0.000426929123932496 0.000162540512974374
NXNL2 0.00032193458173424 0.0286539141088724
ZNF512 0.12988917529583 0.102724626660347
AC099489.1 0.00133827130775899 0.000466687139123678
ANKRD66 0.000445300014689565 0.000184662247193046
PSPN 0.0390952415764332 0.0728056579828262
TP53BP2 0.131572738289833 0.308885723352432
UROS 0.338832229375839 0.802703857421875
AC012462.1 0.000486594013636932 0.000231361162150279
AC093151.3 0.000522137735970318 0.00017902247782331
FAM241B 0.0121962185949087 0.464100360870361
CCDC113 0.00727607356384397 0.0502104833722115
VAMP8 1.13689684867859 1.03491652011871
KCNH1 0.00029082436230965 0.0646221935749054
AL138955.1 0.000443632394308224 0.000223486247705296
PPP2R1A 0.639243423938751 1.85892903804779
RDH12 0.00242903525941074 0.000308878428768367
AL591848.4 0.000731736014131457 0.000391607027268037
SCIMP 0.192709103226662 0.000611619965638965
SIX1 0.0209136474877596 0.522777438163757
B4GALT6 0.0129306456074119 0.0554991662502289
SLX1B 0.000453630374977365 0.000550860015209764
IL1RAP 0.0620906427502632 0.0063469666056335
AC013270.1 0.000529319164343178 0.000204796786420047
LINC00618 0.000380289711756632 0.000174314176547341
KLHL20 0.0858721509575844 0.20116338133812
TAF15 0.262063652276993 0.56464672088623
CXXC1 0.260021418333054 0.733903110027313
AC139530.3 0.00271839345805347 0.0169124342501163
METTL2B 0.0378547012805939 0.126730963587761
CEP350 0.281589150428772 0.127408236265182
Z69733.1 0.000580013380385935 0.000191087645362131
AC139887.5 0.000304485380183905 0.000321601255564019
ACTR8 0.0903961732983589 0.072950467467308
AL008725.1 0.000303799432003871 0.000161371062858962
RBPJ 0.471829295158386 0.355285555124283
CHRNA6 0.000410785927670076 0.00016203906852752
AL137244.1 0.00124746456276625 0.00230533047579229
CAMKV 0.000312171032419428 0.000170137253007852
GLP2R 0.000317205092869699 0.000158595750690438
SYNC 0.062708742916584 0.21272586286068
LINC00858 0.000474693020805717 0.000171247069374658
MRPL58 0.131006225943565 0.659137725830078
RNGTT 0.0811273008584976 0.128015786409378
AC034102.6 0.000452201813459396 0.000180158705916256
PHF11 0.399347841739655 0.368539184331894
SLC30A2 0.0125218387693167 0.0509930215775967
TSPAN5 0.0830086842179298 0.00293875485658646
TCF7L2 0.137193098664284 0.142086356878281
ESRRB 0.000438536837464198 0.0121528953313828
SHROOM3 0.000105727835034486 0.227173358201981
AC090515.2 0.000917665078304708 0.00860538240522146
MS4A8 0.000358422286808491 0.000185694443644024
TOB1 0.080887645483017 0.886047601699829
AP005230.1 0.000338620826369151 0.000200929236598313
CYB5D1 0.0338731817901134 0.0805014669895172
DBH-AS1 0.0508705899119377 0.000234273335081525
AC000065.1 0.000363159138942137 0.000173574822838418
KRT24 0.00077034201240167 9.66743755270727e-05
COX10-AS1 0.0440024137496948 0.0300613306462765
C1orf167 0.00554920034483075 0
HNF1A 0.00253728847019374 0.00703502586111426
TONSL 0.0520077496767044 0.383952975273132
NRSN2 0.0870640203356743 0.397004574537277
PAXBP1 0.159717455506325 0.232139974832535
RAET1L 0.000431587628554553 0.000190712293260731
STEAP4 0.117261916399002 0.000715657020919025
ABHD5 0.118512578308582 0.226679608225822
AL161935.1 0.000402916630264372 0.000186802732059732
UBXN10 0.00553077924996614 0.0420737899839878
RN7SL832P 0.00104511633981019 0.000973240181338042
FZD10-AS1 0.0155176781117916 0.000265669659711421
SFRP4 0.816536426544189 0
SMARCE1 0.237524688243866 0.902354121208191
FAM155B 0.00737679563462734 0.0477415584027767
HACD4 0.279760897159576 0.00259221158921719
TAF4 0.0736933201551437 0.251823902130127
AC027031.2 0.0171432811766863 0.00087828648975119
TOLLIP 0.247826889157295 0.593025028705597
LINC01122 0.000365009676897898 0.000231928628636524
AP000251.1 0.00233143498189747 0.0377849750220776
NMUR2 0.000498173991218209 0.000176242960151285
AL121612.2 0.00084606179734692 0.000400191755034029
SDHB 0.362822532653809 0.71809983253479
SP9 0.000361414655344561 0.00017082822159864
TPSD1 0.00243298709392548 0.000431110238423571
AC068790.9 0.00181967241223902 0.0137422103434801
AC006372.3 0.000421104399720207 0.000230143559747376
AC087741.1 0.0269135255366564 0.139030307531357
PTGDR 0.0325253717601299 0.000450693041784689
TRHDE-AS1 0.000415955961216241 0.000161909279995598
AP000942.2 0.000320947350701317 0.000169374587130733
NOD2 0.0707123056054115 0.0497356988489628
TMED4 0.158777356147766 0.697489619255066
CENPP 0.0211657397449017 0.203318431973457
PPY 0.000752368418034166 0.000172004773048684
LINC02391 0.000394130678614601 0.000172614745679311
PDE3B 0.115105114877224 0
AC008532.1 0.000933749717660248 0.0037106906529516
RBP2 0.000479991955216974 0.000219300476601347
TRAV12-2 0.000456818233942613 0.000162298427312635
ITIH3 0.00897268950939178 0.000476679560961202
AC103724.3 0.00029374344740063 0.000169435021234676
GMPPA 0.283105611801147 0.558710813522339
SPHK1 0.50555694103241 0.445564717054367
ARHGDIB 2.07397508621216 0.657495021820068
GOLGA6L9 0.0172884091734886 0.0775128304958344
USP21 0.0620861612260342 0.131212174892426
HPYR1 0.000319414888508618 0.000172483560163528
ACOX2 0.00090966303832829 0.195860743522644
LINC00342 0.0547046139836311 0.130671367049217
FAM183A 0.000399243726860732 0.0334845520555973
LINC00971 0.000286097085336223 0.000159727336722426
AC008966.1 0.00336071872152388 0.00946130510419607
OR1L8 0.00033698056358844 0.000167252554092556
DNAJC14 0.0970730930566788 0.536391377449036
NOG 0.000549342483282089 0.000223580209421925
EFHB 0.000723049452062696 0.00144098175223917
CNGA1 0.000850830459967256 0.000234800128964707
GPR89B 0.00170593138318509 0.339200049638748
BTG3 0.15049210190773 0.27543905377388
PROSER1 0.125229507684708 0.29107403755188
AC135048.3 0.00108198390807956 0.0185584127902985
UBE3B 0.126232460141182 0.402778506278992
AC243960.1 0.00815240014344454 0.00021392633789219
INTS6 0.173610717058182 0.204120650887489
SIPA1 0.803341925144196 0.395123541355133
VEZF1 0.181655600667 0.495242774486542
TSEN54 0.212743476033211 0.44036203622818
PCDH12 0.181302696466446 0.0913790985941887
SDHAF2 0.37425509095192 0.481823682785034
SERGEF 0.0656311213970184 0.271280169487
AC008567.3 0.000402310077333823 0.000282562134088948
LINC00880 0.000373483955627307 0.00022605735284742
SMPD4 0.24125449359417 0.553411066532135
RDH11 0.205991894006729 0.206270962953568
TBC1D8B 0.0087288236245513 0.0863466858863831
BCAM 0.047182958573103 0.267909854650497
AL121974.1 0.000365265092113987 0.000175216904608533
BORCS8 0.144430801272392 0.383371412754059
TRMT1 0.351155400276184 0.313791245222092
LINC02054 0.000317298021400347 0.000192243707715534
SLX4 0.0722022503614426 0.132450148463249
VPS35L 0.192415982484818 0.111095450818539
ZNF674 0.0169589817523956 0.0196087323129177
HNRNPH2 0.280985116958618 0.625337839126587
FOXD4L5 0.000434006797149777 0.000452121021226048
AMY2B 0.0884942188858986 0
TXLNB 0.0364487208425999 0.00425348337739706
AC012313.9 0.000375618023099378 0.00897961016744375
AC092171.1 0.000308282615151256 0.00025250474573113
FBXL6 0.223039478063583 0.593268632888794
SHISAL2A 0.0791731998324394 0.000122490906505845
PATL2 0.120185010135174 0
AC104819.3 0.000477353198220953 0.000591189425904304
C8orf88 0.0117797115817666 0.000203530362341553
OR1A1 0.000305460242088884 0.000164405500981957
AAK1 0.229705408215523 0.0959610119462013
LINC01238 0.0070826867595315 0.050394456833601
AC087623.3 0.00121604115702212 0.0365045554935932
AP000569.1 0.000471387000288814 0.000164388999110088
RXFP1 0.000540105043910444 0.000567549199331552
IL10RB-DT 0.0435123033821583 0.000476350338431075
FAM98B 0.135002195835114 0.24250203371048
GREM2 0.00132301542907953 0.00143852678593248
RASAL2-AS1 0.00194077403284609 0.00255571445450187
NUBP1 0.20989915728569 0.349815547466278
AL080312.2 0.00030535168480128 0.000231320736929774
GPR176 0.110436320304871 0.0723840445280075
PPP3CB 0.253684818744659 0.36008432507515
IFNL1 0.00900745019316673 0.000573280965909362
APOBEC3F 0.101370744407177 0.00234766933135688
AC005632.3 0.00880693271756172 0.00083566369721666
MT-ND2 1.50781893730164 3.74900412559509
LINC01351 0.000286111724562943 0.0433542728424072
APOL3 0.505250930786133 0.296869695186615
ITIH6 0.00147891906090081 0.00446735601872206
RTKN 0.117668777704239 0.307578384876251
AC073316.1 0.000312954885885119 0.000161967866006307
GSDMD 0.700277626514435 1.43951690196991
FNDC9 0.000343143648933619 0.00016681122360751
GAS5 0.846480131149292 3.42863750457764
AC092614.1 0.000370742258382961 0.000169258535606787
AL354760.1 0.000506019918248057 0.000239882909227163
TNFRSF25 0.458586841821671 0.260966628789902
SAPCD2 0.00884147547185421 0.54986047744751
BAIAP2L2 0.00227127433754504 0.0243292655795813
RFX3-AS1 0.000426884740591049 0.0001772280811565
SPTAN1 0.632167458534241 0.569531798362732
POR 0.466157734394073 0.486018151044846
DSEL 0.0389649160206318 0.0431068278849125
NR5A2 0.0280559454113245 0.00318838679231703
RPL12 4.59970712661743 4.62257862091064
AGTPBP1 0.104413196444511 0.0501670464873314
AL022151.1 0.000337926700012758 0.000214100422454067
CKMT1A 0 0.056807603687048
U91328.3 0.000681674166116863 0.000292831944534555
AC130371.2 0.00263910950161517 0.0388759896159172
KBTBD8 0.0233012344688177 0.00200061989016831
PTP4A2 0.772047817707062 1.56092822551727
AC234917.2 0.000415289949160069 0.000228876553592272
PIP4P1 0.294621407985687 0.303729951381683
POLD2 0.244629889726639 0.796269536018372
AC011503.1 0.000812513288110495 0.000192894338397309
HBA2 0.073214016854763 0
COLCA2 0.000544268870726228 0.000240854147705249
DNAAF4 0.00443256413564086 0.0611751303076744
AC080013.4 0.00543147465214133 0.000202331386390142
TPD52 0.170979291200638 1.69316411018372
KMT5C 0.11716228723526 0.342014074325562
AC069503.4 0.000343924592016265 0.000164172917720862
LEMD1 0.000505269563291222 0.000235288505791686
LINC00052 0.00932418927550316 0.000160310752107762
BSN-DT 0.000438783230492845 0.000165205245139077
AC004784.1 0.000323035201290622 0.000181856652488932
AC017104.6 0.000338793906848878 0.000220747228013352
ZNF211 0.119711309671402 0.126007065176964
VASH1-AS1 0.0522096417844296 0.172452285885811
MRPL41 0.799214363098145 1.75243592262268
AP006565.1 0.000680591561831534 0.0161373671144247
SOS1 0.23085330426693 0.15174600481987
AC015982.2 0.0043600257486105 0.00193810788914561
LINC02028 0.00714532798156142 0.00354075245559216
CENPX 0.478364765644073 2.31079459190369
SLC25A18 0.000815333856735379 0.000597102800384164
FUZ 0.0902009978890419 0.227320358157158
MCIDAS 0.000393728609196842 0.0147139579057693
RNPEPL1 0.753570675849915 0.52363532781601
NR1H2 0.48047086596489 0.731826961040497
TYRO3 0.0317474044859409 0.12280697375536
ATP2C1 0.256227254867554 0.566351532936096
HAUS5 0.116068512201309 0.358896285295486
FLT4 0.124025523662567 0.0519709326326847
INTS3 0.176761701703072 0.876049518585205
TGM1 0.00418642722070217 0.00702318921685219
LINC00598 0.000493834668304771 0.000185812852578238
POU2F1 0.10860288888216 0.158631518483162
CCDC102B 0.0547651574015617 0.0114279128611088
SNRNP200 0.545381665229797 0.810503602027893
ITPKC 0.127310931682587 0.334463119506836
POTEC 0 0.0536058284342289
HARBI1 0.0328730642795563 0.0525428354740143
RUFY4 0.0328981168568134 0.00128129578661174
FOXK2 0.195682629942894 0.531018793582916
AGBL4 0.000540007604286075 0.000401989964302629
UBE2F 0.278800457715988 0.639639854431152
CXCL14 0.732532918453217 5.05206394195557
LCN2 0.00835730507969856 0.000253903301199898
KIAA0319L 0.222087681293488 0.39899280667305
SARS 0.510187387466431 0.646090388298035
P2RX6 0.000467159930849448 0.000185708879143931
HDAC4 0.0694702714681625 0.104231998324394
CEP68 0.081203892827034 0.09136001765728
FMNL1 0.807678699493408 0.282477557659149
AC127002.2 0.000544749316759408 0.000211624399526045
RFPL2 0.00206735427491367 0.000171792780747637
CABLES1 0.0154087459668517 0.527511239051819
EIF4G3 0.227528795599937 0.215244144201279
AL137026.1 0.00157979398500174 0.000278092920780182
AC092793.1 0.000410120381275192 0.0601439513266087
LINC00603 0.000524514704011381 0.000166865516803227
AC008764.8 0.0120387719944119 0.00644249329343438
AC034229.4 0.000438374554505572 0.00608483515679836
STRAP 0.268324464559555 0.679213523864746
AP001033.3 0.000324005843140185 0.000201956310775131
AP005432.1 0.000300788815366104 0.000167190984939225
ATAD3B 0.243228912353516 0.321855545043945
TM2D1 0.212625280022621 0.329555928707123
RAB20 0.246329724788666 0.289234966039658
PRRG2 0.0114336898550391 0.308118611574173
SENP6 0.311743170022964 0.372755199670792
SPATA22 0.000469785969471559 0.000188612175406888
PDPR 0.138465777039528 0.261648863554001
YJU2 0.258514523506165 0.202892541885376
AC027607.1 0.000629446760285646 0.000179522059625015
GNAI2 1.74931108951569 0.81939023733139
AC147067.2 0.00867619179189205 0.00107993022538722
UBQLNL 0.00146481930278242 0.00045706843957305
CSTL1 0.000298835046123713 0.000160878538736142
AC020911.2 0.000294522847980261 0.000165412042406388
UNG 0.0489303283393383 0.40966671705246
LRRN4 0.000328634458128363 0.000227507451199926
CCDC187 0.000658916309475899 0.000343400723068044
PLEKHO1 1.47882425785065 0.360207408666611
SHC1 0.51778656244278 0.984396457672119
LINC01550 0.0257771518081427 0.000190290302271023
HDAC11 0.0281129702925682 0.62759268283844
AC007193.3 0.000337236415361986 0.000199916132260114
ACAT2 0.0491112992167473 0.405942469835281
METTL15 0.0535819381475449 0.163467779755592
CLEC6A 0.000800342240836471 0.000210509373573586
ICAM1 0.561775505542755 0.179451107978821
CUL5 0.162049889564514 0.254044204950333
AC078883.2 0.000339580961735919 0.0001639071124373
CHST15 0.0999904498457909 0.302217483520508
RRM2B 0.153166979551315 0.221300601959229
RHOU 0.142268866300583 0.242241054773331
MST1R 0.00607451237738132 0.356427609920502
ZCCHC9 0.116535797715187 0.1678576618433
ZNF75D 0.104249745607376 0.165765404701233
AC008243.1 0.000332967581925914 0.000192572071682662
DCTN1 0.292498201131821 0.340006023645401
SLC35E2B 0.238870039582253 0.469475626945496
AL645933.2 0.0281462650746107 0.0212738402187824
GJB2 0.0708839595317841 0.222935259342194
CHCHD1 0.404347509145737 0.901611804962158
NUDT11 0.00863287039101124 0.000529381853993982
RAI2 0.0679637268185616 0.0222146976739168
LINC00865 0.0187344998121262 0.00977923534810543
NSMCE2 0.159124538302422 0.599676549434662
AC034102.4 0.000707581173628569 0.000203135277843103
AC097532.2 0.000340420752763748 0.00028189126169309
SEMA5A 0.127946451306343 0.05359261110425
ZNF540 0.0213667806237936 0.00834638811647892
FCER2 0.014054860919714 0.000136381786433049
DCUN1D2-AS 0.000456507579656318 0.000206180120585486
CR1 0.0790545865893364 0.000288896699203178
ZDHHC2 0.209416061639786 0.0461887791752815
GOSR1 0.122416980564594 0.378733992576599
BIN2 0.437181442975998 0.000678088050335646
TEN1 0.182040110230446 0.384822189807892
HPS3 0.163922891020775 0.186608359217644
AC132938.6 0.0013473960570991 0.000631033792160451
N4BP1 0.402472853660583 0.282228589057922
TSEN34 0.24808369576931 0.761957108974457
ARMH1 0.0978258699178696 0.00120972830336541
TP53TG1 0.282015144824982 0.278974324464798
AC092747.4 0.0597223378717899 0.0535666272044182
USP44 0.000480518006952479 0.000168836369994096
ARFGAP2 0.315213918685913 0.760881543159485
AC135507.1 0.00135124800726771 0.0170463025569916
AVIL 0.0385139472782612 0.160575985908508
GOLGA4 0.256785660982132 0.805034041404724
LINC00632 0.0867209956049919 0
TRAC 1.26770508289337 0
IGFL1 0.005991380661726 0.0018963007023558
MMP23B 0.158367112278938 0.0297512784600258
PDF 0.000778809888288379 0.00287185539491475
AC104041.1 0.00049408694030717 0.000163937918841839
AP002498.1 0.000338262267177925 0.000247573043452576
LINC02600 0.000979858567006886 0.000319577433401719
PLB1 0.0761696472764015 0.000185312004759908
SYPL2 0.00606822082772851 0.000406016915803775
IGHV5-51 0.000410952867241576 0.000166450176038779
HIC2 0.064758874475956 0.0260174702852964
FSBP 0.00785078667104244 0.00942026637494564
ATP2B1 0.223225370049477 0.242493480443954
LRRC56 0.0294738728553057 0.235383883118629
NDOR1 0.0742205530405045 0.06816266477108
AL162426.1 0.00235342746600509 0.00650200806558132
AC245297.2 0.0132934767752886 0.0402289144694805
RPAP2 0.0867962911725044 0.108188092708588
ARL4D 0.0368887111544609 0.110576510429382
ERCC6L 0.000565225549507886 0.0511296428740025
COASY 0.197294726967812 0.866454780101776
LNPK 0.0921607315540314 0.202983140945435
ZDHHC24 0.295985013246536 0.367819517850876
DICER1 0.248784467577934 0.195289000868797
F11 0.000358506920747459 0.000199160625925288
RPGRIP1L 0.00817517377436161 0.198290959000587
DBNDD1 0.000798249675426632 0.389930784702301
TMEM45A 0.101639114320278 0.146235153079033
BAIAP2 0.0487121008336544 0.602491736412048
STIM2 0.194787114858627 0.139520242810249
LAMP3 0.251907080411911 0
TNFRSF14-AS1 0.0978140309453011 0.0308258160948753
TBC1D1 0.357873618602753 0.189761430025101
PAK3 0.00700030894950032 0.00103379425127059
METAP1D 0.00840998906642199 0.0880748555064201
PI4K2B 0.126069724559784 0.140427827835083
LINC00930 0.000884599052369595 0.00034423460601829
ARL10 0.024151349440217 0.00776325259357691
KIF26B 0.0596719644963741 0.313244640827179
MICOS10 0.881800770759583 1.32627892494202
TMEM185A 0.16218090057373 0.235111504793167
AC100803.4 0.0199360270053148 0.000832171179354191
LINC00665 0.0732972398400307 0.15399931371212
AC245008.1 0.000591576565057039 0.000591243500821292
TAPBPL 0.32275664806366 0.545901715755463
UBE2E3 0.357442080974579 0.0715334340929985
KPNA7 0.000389887281926349 0.000275990722002462
OR51E2 0.000623131054453552 0.00022112209990155
PLOD2 0.0943500995635986 0.293926656246185
ABCG5 0.000310766889015213 0.000205169300897978
FBXW4 0.213171496987343 0.609215676784515
PCDHA7 0.000691174878738821 0.000317047699354589
AL162293.1 0.000309338123770431 0.000195647502550855
CAHM 0.0147233689203858 0.0082741416990757
AL162253.2 0.0318237170577049 0.0345724523067474
PXN 0.411060005426407 0.733711898326874
ZMIZ1-AS1 0.0036985925398767 0.020109886303544
EPHA5 0.000402188918087631 0.000171682244399562
SORBS2 0.0504349283874035 0.00220068776980042
TAF2 0.0857286527752876 0.422144800424576
SNAPC5 0.135543018579483 0.34481018781662
KCNJ16 0.000413236441090703 0.00016855493595358
EXOC3L2 0.0202393587678671 0.000780772534199059
EIF2B3 0.0888311490416527 0.258929699659348
GGH 0.0595692247152328 0.486669987440109
DHX35 0.0528520904481411 0.170407146215439
PRSS3 0.000530765508301556 0.000260162691120058
AC005586.2 0.00158735853619874 0.000203124654944986
AC084030.1 0.000385839492082596 0.000175895722350106
AL157944.1 0.00051203795010224 0
AC012636.1 0.00238251336850226 0.000493677158374339
MAPT-AS1 0.000385782128432766 0.000194819658645429
CYTOR 0.66767954826355 0.990418493747711
RFTN1 0.422531485557556 0.0893054232001305
AC108482.2 0.000322055129799992 0.000171896230312996
AC004812.2 0.0416238196194172 0.0211336761713028
AL391883.1 0.000344884028891101 0.000168632759596221
MYOZ3 0.00339989713393152 0.000280652282526717
LINC01949 0.000375924864783883 0.000255072925938293
SHISA4 0.0508980676531792 0.297760516405106
AC005523.2 0.000292500393697992 0.0200749039649963
CACNA1C-AS1 0.000453292275778949 0.00017626844055485
EMX2 0.000897892517969012 0.000173737556906417
AC012213.3 0.000457788730273023 0.000690216198563576
LGALS12 0.00776576297357678 0.000216991218621843
C6orf163 0.000931747839786112 0.00129109679255635
OR7D2 0.00426323851570487 0.0125350533053279
ADAM23 0.0118875876069069 0.000583853048738092
DNAJC28 0.000461272691609338 0.000442570890299976
HRH2 0.0829473733901978 0.000662230595480651
PTPRC 1.16927194595337 0.00245295558124781
AC061975.1 0.000384432438295335 0.000330637092702091
MYO16 0.00655256025493145 0.0139415077865124
KAT6B 0 0.0405999235808849
TBX4 0.000359635887434706 0.000180343500687741
C1QC 2.16084814071655 0.537516832351685
SCAF1 0.200823590159416 0.390939891338348
ENPEP 0.0701692998409271 0.0272247269749641
ARL15 0.0846614241600037 0.0922232642769814
MSC-AS1 0.0368783138692379 0.0144677283242345
AL157400.3 0.000478447647765279 0.000285415560938418
AC007406.3 0.000852560682687908 0.000316472054691985
MAP3K5 0.150928735733032 0.0129085322842002
TM9SF1 0.167151793837547 0.298313647508621
SPTSSB 0.000138382922159508 0
MRPS18B 0.178192183375359 0.62932687997818
CEP41 0.0618174560368061 0.0600225105881691
RPLP1 4.51371431350708 6.66577863693237
RPP40 0.0376250632107258 0.104772478342056
RBL2 0.413757354021072 0.289988249540329
MREG 0.10975519567728 0.119139932096004
AP000845.1 0.000439543277025223 0.00724984658882022
HLA-DOB 0.143837556242943 0.000105506900581531
DNAAF5 0.0302073657512665 0.395534336566925
MICB 0.0505446828901768 0.0548170059919357
LEKR1 0.00157856219448149 0.000870937656145543
ANKRD28 0.160560101270676 0.391688764095306
PGLS 0.834910809993744 0.80637127161026
CACNA1A 0.0709492564201355 0.0197692085057497
UBTD1 0.2284175157547 0.318180620670319
MRPL44 0.139629721641541 0.250364154577255
CMAS 0.0784965008497238 0.343691259622574
DACH1 0.0123985121026635 0
AC026367.2 0.000867789087351412 0.000967872852925211
FASTKD2 0.144174203276634 0.162592068314552
CCDC65 0.00310474145226181 0.0017521878471598
PDE3A 0.039366539567709 0.000276410835795105
LSP1 1.56808388233185 0.35796394944191
CXXC5 0.169505015015602 1.81200683116913
AC064805.1 0.00181074382271618 0.000199619185877964
PCBD1 0.316045820713043 1.63386344909668
GPR137C 0.00112547317985445 0.0216775666922331
AC009133.2 0.000473840744234622 0.000358181481715292
RNF175 0.0083512868732214 0.000215096079045907
AMPD1 0.0140694910660386 0.000159595874720253
PIGF 0.137009769678116 0.163469329476357
TSPAN17 0.306004196405411 0.711261510848999
TUBB8P12 0.000629335641860962 0.000408496591262519
AL355075.3 0.000299380451906472 0.000165733217727393
AC005962.2 0.00056691444478929 0.000287043541902676
EXOC7 0.317352175712585 0.813871324062347
C22orf34 0.00272307218983769 0.000270360644208267
AL353803.2 0.000330404000123963 0.000199270158191212
GALR2 0.000420829077484086 0.000635423115454614
VWA3A 0.000354436720954254 0.000165695673786104
AC017083.2 0.000917797908186913 0.00374858896248043
PYGB 0.308655887842178 0.621393144130707
AC068385.1 0.000336983386659995 0.000205454285605811
FST 0.0616058446466923 0.0111037939786911
SLC25A17 0.0586500689387321 0.1587273478508
LINC00337 0.000899940496310592 0.00258603598922491
FADS6 0.000336156314006075 0.000247778720222414
